,response_length
review_count,-0.02236938718187563
game_count,-0.03090083680958075
playtime_forever,0.04797953597888587
playtime_at_review,0.04726906344354974
playtime_last_two_week,0.021760259139433056
voted_up,-0.34607040316338794
votes_up,0.07540965196051748
votes_funny,0.004210895813236057
comment_count,0.09493872920144054
steam_purchase,0.011918754948624388
received_for_free,-0.013976816583566535
written_during_early_access,0.11404735056946817
compound,-0.13013108156168923
neg,0.08538631281719831
neu,0.1926831405020848
pos,-0.2769064316732256
length,0.3048909395257526
readability_score,-0.09461658119331108
brevity,0.2607518434419512
similarity_between,0.11480241039254535
similarity_inner,-0.06932407366044852
response_length,1.0
