,similarity_between
review_count,-0.010101719855701435
game_count,0.010906243963247367
playtime_forever,0.0023644919144813954
playtime_at_review,0.01181874521208933
playtime_last_two_week,0.016949796132161177
voted_up,-0.0007188301221774399
votes_up,0.0682607866004199
votes_funny,-0.003088791774483587
comment_count,0.046105212255513686
steam_purchase,0.022997068778793952
received_for_free,0.005994679373509104
written_during_early_access,0.07596710668362501
compound,0.08656470063143311
neg,-0.07257959897379171
neu,0.010959053255509887
pos,0.06569242184678484
length,0.3382609929203585
readability_score,-0.07278516527462373
brevity,0.24740578019135206
similarity_between,1.0
similarity_inner,-0.47448780606120455
response_length,0.11480241039254535
